Periodo, Nacional , GBA , Pampeana , Noroeste , Noreste , Cuyo , Patagonia , REM Nacional 
dic-23, -   , -   , -   , -   , -   , -   , -   , -   
nov-23, -   , -   , -   , -   , -   , -   , -   , -   
oct-23, -   , -   , -   , -   , -   , -   , -   , -   
sep-23, -   , -   , -   , -   , -   , -   , -   , -   
ago-23, -   , -   , -   , -   , -   , -   , -   , -   
jul-23, -   , -   , -   , -   , -   , -   , -   , -   
jun-23, -   , -   , -   , -   , -   , -   , -   , 0.058 
may-23, -   , -   , -   , -   , -   , -   , -   , 0.059 
abr-23, -   , -   , -   , -   , -   , -   , -   , 0.060 
mar-23, -   , -   , -   , -   , -   , -   , -   , 0.062 
feb-23, -   , -   , -   , -   , -   , -   , -   , 0.057 
ene-23, -   , -   , -   , -   , -   , -   , -   , 0.056 
dic-22, 0.051 , 0.053 , 0.051 , 0.047 , 0.048 , 0.050 , 0.045 , 0.055 
nov-22, 0.049 , 0.050 , 0.049 , 0.046 , 0.045 , 0.049 , 0.049 , 0.061 
oct-22, 0.063 , 0.066 , 0.061 , 0.063 , 0.062 , 0.060 , 0.066 , 0.065 
sep-22, 0.062 , 0.060 , 0.063 , 0.061 , 0.068 , 0.061 , 0.061 , 0.067 
ago-22, 0.070 , 0.070 , 0.069 , 0.076 , 0.076 , 0.065 , 0.064 , 0.065 
jul-22, 0.074 , 0.074 , 0.075 , 0.067 , 0.074 , 0.073 , 0.080 , 0.075 
jun-22, 0.053 , 0.055 , 0.052 , 0.052 , 0.049 , 0.053 , 0.051 , 0.053 
may-22, 0.051 , 0.048 , 0.053 , 0.056 , 0.053 , 0.052 , 0.049 , 0.030 
abr-22, 0.060 , 0.062 , 0.059 , 0.064 , 0.060 , 0.058 , 0.059 , 0.056 
mar-22, 0.067 , 0.067 , 0.066 , 0.068 , 0.072 , 0.068 , 0.074 , 0.055 
feb-22, 0.047 , 0.046 , 0.047 , 0.049 , 0.050 , 0.054 , 0.048 , 0.039 
ene-22, 0.039 , 0.039 , 0.038 , 0.040 , 0.034 , 0.041 , 0.036 , 0.038 
dic-21, 0.038 , 0.041 , 0.035 , 0.040 , 0.044 , 0.039 , 0.031 , 0.034 
nov-21, 0.025 , 0.023 , 0.028 , 0.027 , 0.030 , 0.027 , 0.022 , 0.030 
oct-21, 0.035 , 0.038 , 0.034 , 0.032 , 0.035 , 0.031 , 0.029 , 0.032 
sep-21, 0.035 , 0.038 , 0.034 , 0.033 , 0.028 , 0.029 , 0.037 , 0.028 
ago-21, 0.025 , 0.026 , 0.023 , 0.024 , 0.027 , 0.018 , 0.034 , 0.028 
jul-21, 0.030 , 0.031 , 0.029 , 0.028 , 0.030 , 0.032 , 0.033 , 0.030 
jun-21, 0.032 , 0.031 , 0.032 , 0.033 , 0.029 , 0.035 , 0.034 , 0.032 
may-21, 0.033 , 0.034 , 0.032 , 0.032 , 0.031 , 0.036 , 0.035 , 0.036 
abr-21, 0.041 , 0.041 , 0.040 , 0.041 , 0.040 , 0.042 , 0.048 , 0.038 
mar-21, 0.048 , 0.052 , 0.048 , 0.042 , 0.033 , 0.043 , 0.041 , 0.039 
feb-21, 0.036 , 0.036 , 0.034 , 0.033 , 0.038 , 0.041 , 0.039 , 0.035 
ene-21, 0.040 , 0.033 , 0.046 , 0.055 , 0.043 , 0.045 , 0.041 , 0.039 
dic-20, 0.040 , 0.037 , 0.042 , 0.055 , 0.043 , 0.043 , 0.030 , 0.040 
nov-20, 0.032 , 0.030 , 0.034 , 0.037 , 0.031 , 0.031 , 0.029 , 0.035 
oct-20, 0.038 , 0.036 , 0.040 , 0.037 , 0.041 , 0.037 , 0.035 , 0.032 
sep-20, 0.028 , 0.028 , 0.029 , 0.034 , 0.023 , 0.036 , 0.023 , 0.029 
ago-20, 0.027 , 0.028 , 0.026 , 0.023 , 0.026 , 0.027 , 0.029 , 0.028 
jul-20, 0.019 , 0.016 , 0.021 , 0.022 , 0.019 , 0.023 , 0.027 , 0.022 
jun-20, 0.022 , 0.020 , 0.025 , 0.023 , 0.022 , 0.023 , 0.019 , 0.019 
may-20, 0.015 , 0.015 , 0.016 , 0.016 , 0.017 , 0.013 , 0.016 , 0.019 
abr-20, 0.015 , 0.014 , 0.015 , 0.021 , 0.026 , 0.013 , 0.006 , 0.022 
mar-20, 0.033 , 0.036 , 0.030 , 0.035 , 0.038 , 0.031 , 0.026 , 0.026 
feb-20, 0.020 , 0.018 , 0.023 , 0.022 , 0.018 , 0.023 , 0.018 , 0.025 
ene-20, 0.023 , 0.019 , 0.025 , 0.031 , 0.024 , 0.025 , 0.025 , 0.035 
dic-19, 0.037 , 0.038 , 0.036 , 0.040 , 0.037 , 0.033 , 0.042 ,
nov-19, 0.043 , 0.041 , 0.045 , 0.043 , 0.039 , 0.045 , 0.045 ,
oct-19, 0.033 , 0.032 , 0.034 , 0.033 , 0.029 , 0.037 , 0.032 ,
sep-19, 0.059 , 0.058 , 0.061 , 0.062 , 0.058 , 0.058 , 0.053 ,
ago-19, 0.040 , 0.039 , 0.039 , 0.045 , 0.041 , 0.044 , 0.042 ,
jul-19, 0.022 , 0.021 , 0.022 , 0.019 , 0.020 , 0.028 , 0.025 ,
jun-19, 0.027 , 0.026 , 0.028 , 0.029 , 0.028 , 0.026 , 0.028 ,
may-19, 0.031 , 0.030 , 0.030 , 0.028 , 0.039 , 0.029 , 0.034 ,
abr-19, 0.034 , 0.032 , 0.037 , 0.035 , 0.036 , 0.033 , 0.035 ,
mar-19, 0.047 , 0.048 , 0.045 , 0.051 , 0.049 , 0.044 , 0.043 ,
feb-19, 0.038 , 0.038 , 0.036 , 0.045 , 0.042 , 0.038 , 0.030 ,
ene-19, 0.029 , 0.028 , 0.029 , 0.034 , 0.032 , 0.029 , 0.030 ,
dic-18, 0.028 , 0.028 , 0.023 , 0.025 , 0.023 , 0.025 , 0.026 ,
nov-18, 0.032 , 0.029 , 0.033 , 0.030 , 0.033 , 0.037 , 0.042 ,
oct-18, 0.054 , 0.051 , 0.058 , 0.049 , 0.053 , 0.059 , 0.058 ,
sep-18, 0.065 , 0.066 , 0.063 , 0.073 , 0.060 , 0.068 , 0.066 ,
ago-18, 0.039 , 0.041 , 0.037 , 0.040 , 0.040 , 0.034 , 0.036 ,
jul-18, 0.031 , 0.028 , 0.033 , 0.034 , 0.034 , 0.036 , 0.032 ,
